Dataset,Status,Statistic,Obs,Pred,SD,Replicates
Chang2015,Original,PPA-DIV,4.07969,4.12583,0.00694512,500
Chang2015,Original,PPA-CONV,0.727754,0.71826,0.000729643,500
Chang2015,Original,PPA-VAR,0.0333869,0.0329231,3.78E-05,500
Chang2015,Original,PPA-MAX,0.00184685,0.000609471,9.91E-05,500
Chang2015,Original,PPA-MEAN,0.000150357,2.74E-05,2.68E-06,500
Chang2015,Filtered,PPA-DIV,5.0036,5.05542,0.0171057,500
Chang2015,Filtered,PPA-CONV,0.6449,0.63182,0.00160615,500
Chang2015,Filtered,PPA-VAR,0.0291339,0.0284326,8.34E-05,500
Chang2015,Filtered,PPA-MAX,0.00302683,0.00293999,0.000814078,500
Chang2015,Filtered,PPA-MEAN,0.000319918,0.000125,1.71E-05,500
Whelan2015_D10,Original,PPA-DIV,6.0938,6.15517,0.00889305,500
Whelan2015_D10,Original,PPA-CONV,0.504382,0.49555,0.0007394,500
Whelan2015_D10,Original,PPA-VAR,0.0222002,0.0217052,3.75E-05,500
Whelan2015_D10,Original,PPA-MAX,0.00356369,0.000252624,7.41E-05,500
Whelan2015_D10,Original,PPA-MEAN,0.000394042,3.50E-05,2.31E-06,500
Whelan2015_D10,Filtered,PPA-DIV,6.09364,6.16509,0.018197,500
Whelan2015_D10,Filtered,PPA-CONV,0.49539,0.488119,0.00160379,500
Whelan2015_D10,Filtered,PPA-VAR,0.021755,0.0213253,8.23E-05,500
Whelan2015_D10,Filtered,PPA-MAX,0.00363364,0.00128249,0.000433941,500
Whelan2015_D10,Filtered,PPA-MEAN,0.000520106,0.000145146,1.07E-05,500
Whelan2015_D20,Original,PPA-DIV,5.54643,5.60347,0.00991385,500
Whelan2015_D20,Original,PPA-CONV,0.556055,0.548502,0.000748525,500
Whelan2015_D20,Original,PPA-VAR,0.0248586,0.024441,3.91E-05,500
Whelan2015_D20,Original,PPA-MAX,0.00316406,0.000301416,7.30E-05,500
Whelan2015_D20,Original,PPA-MEAN,0.000336987,3.92E-05,2.45E-06,500
Whelan2015_D20,Filtered,PPA-DIV,6.0017,6.08058,0.0215488,500
Whelan2015_D20,Filtered,PPA-CONV,0.509656,0.501998,0.00197819,500
Whelan2015_D20,Filtered,PPA-VAR,0.0224565,0.0219814,0.000101856,500
Whelan2015_D20,Filtered,PPA-MAX,0.00449622,0.00238713,0.000892219,500
Whelan2015_D20,Filtered,PPA-MEAN,0.000616035,0.000196474,1.67E-05,500
Simion2017,Original,PPA-DIV,5.51922,5.56061,0.00321871,500
Simion2017,Original,PPA-CONV,0.557756,0.546895,0.000325933,500
Simion2017,Original,PPA-VAR,0.0247903,0.0241848,1.60E-05,500
Simion2017,Original,PPA-MAX,0.00107832,9.05E-05,1.18E-05,500
Simion2017,Original,PPA-MEAN,0.000241008,1.10E-05,5.61E-07,500
Simion2017,Filtered,PPA-DIV,5.49654,5.53841,0.00512349,500
Simion2017,Filtered,PPA-CONV,0.563606,0.552284,0.000553791,500
Simion2017,Filtered,PPA-VAR,0.0250783,0.0244481,2.87E-05,500
Simion2017,Filtered,PPA-MAX,0.00116463,0.000106096,2.62E-05,500
Simion2017,Filtered,PPA-MEAN,0.000224477,1.63E-05,1.00E-06,500
Whelan2017_MCRS,Original,PPA-DIV,5.31934,5.34157,0.00964983,500
Whelan2017_MCRS,Original,PPA-CONV,0.527143,0.51944,0.000947398,500
Whelan2017_MCRS,Original,PPA-VAR,0.0233189,0.0228999,4.88E-05,500
Whelan2017_MCRS,Original,PPA-MAX,0.00137616,0.000735592,0.000173624,500
Whelan2017_MCRS,Original,PPA-MEAN,0.000344015,0.000114482,8.88E-06,500
Whelan2017_MCRS,Filtered,PPA-DIV,5.39593,5.42575,0.0145538,500
Whelan2017_MCRS,Filtered,PPA-CONV,0.512861,0.505902,0.0014755,500
Whelan2017_MCRS,Filtered,PPA-VAR,0.0225852,0.0221911,7.52E-05,500
Whelan2017_MCRS,Filtered,PPA-MAX,0.00186616,0.00166719,0.000425408,500
Whelan2017_MCRS,Filtered,PPA-MEAN,0.000482128,0.000222821,1.69E-05,500